Date,Description,Amount,Location,Retail
17/06/2022,TESCO STORE 6091 6091TE RUISLIP,11.55,Ruislip,Tesco
17/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.85,UK,Tfl
16/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.97,Feltham,Mcdonald'S
16/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
15/06/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
15/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
11/06/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
10/06/2022,TESCO STORE 4460 4460TE WINDSOR,4.4,Windsor,Tesco
10/06/2022,TESCO STORE 4460 4460TE WINDSOR,5.2,Windsor,Tesco
10/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,8.4,Feltham,Other
08/06/2022,ASDA STORES             FELTHAM,9.99,Feltham,Asda
08/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.28,Feltham,Mcdonald'S
08/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
07/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
07/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
06/06/2022,ASDA STORES             FELTHAM,20.09,Feltham,Asda
04/06/2022,NIKEPOS_UK              LONDON,58.45,London,Other
04/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.35,UK,Tfl
04/06/2022,J D WETHERSPOON PLC     WATFORD,7.55,Watford,Wetherspoon
04/06/2022,ADIDAS LONDON FO        LONDON,39.2,London,Other
04/06/2022,J D WETHERSPOON PLC     WATFORD,1.99,Watford,Wetherspoon
04/06/2022,J D WETHERSPOON PLC     WATFORD,1.99,Watford,Wetherspoon
03/06/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
03/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
03/06/2022,SHELL BUDGENS BELLEGROV WELLING,5.99,Welling,Other
03/06/2022,TESCO STORE 6434 6434TE WELLING,11.14,Welling,Tesco
03/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.4,UK,Tfl
02/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.55,UK,Tfl
02/06/2022,TK MAXX 357             CAMBRIDGE,19.99,Cambridge,Tk Maxx
01/06/2022,MCDONALDS               LONDON,3.28,London,Other
01/06/2022,TESCO STORE 3093 3093TE LONDON,5.0,London,Tesco
01/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.0,UK,Tfl
01/06/2022,TRAINLINE               EDINBURGH,21.39,Edinburgh,Trainline
31/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
30/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
30/05/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
27/05/2022,ASDA STORES             FELTHAM,16.53,Feltham,Asda
26/05/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
26/05/2022,DELIVEROO               LONDON,6.57,London,Deliveroo
25/05/2022,ASDA STORES             FELTHAM,13.19,Feltham,Asda
25/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
24/05/2022,INTEREST CHARGE,11.79,UK,Other
24/05/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
24/05/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
24/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
24/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65,UK,Tfl
23/05/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.97,Feltham,Mcdonald'S
23/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
22/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.65,UK,Tfl
22/05/2022,MCDONALDS               WELLING,5.18,Welling,Other
22/05/2022,ASDA STORES             FELTHAM,7.19,Feltham,Asda
21/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.25,UK,Tfl
19/05/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
19/05/2022,ASDA STORES             FELTHAM,11.2,Feltham,Asda
19/05/2022,INTEREST CHARGE,25.95,UK,Other
18/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
17/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
16/05/2022,TESCO STORE 2334 2334TE CAMBERLEY,6.99,Camberley,Tesco
16/05/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
13/05/2022,ASDA STORES             FELTHAM,7.5,Feltham,Asda
